responseId,startTime,endTime,testType,activityPoints,dfs,dfsRaw,dfsRaw01,dfsRaw02,dfsRaw03,dfsRaw04,dfsRaw05,dfsRaw06,dfsRaw07,dfsRaw08,dfsRaw09,dejectionRawPre2,FR01,FR04,FR03,FR10,FR02,FR06,prevention.pre,promotion.pre,dejectionRawPost,tense,nervous,anxious,depressed,uncertain,agitated,calm,self_conscious,quiet,unconcerned,disappointed ,frustrated,sad,contented,enthusiastic,happy,balanced,dejection,cheerfulness,promotion.pos,agitation,quiescence,prevention.pos,fss,flow,flow01,flow02,flow03,flow04,flow05,flow06,flow07,flow08,Condition,gender,age,ethnicity,sexualOrientation,civilState,city,universityEducation,institucion,educationLevel,conclusion
208ec0b0-9d46-11eb-9b7e-0daf340a71ab,1618420145528,1618420954258,stFemale,150,4.222222222,"2,4,4,5,5,3,5,5,5",2,4,4,5,5,3,5,5,5,"4, 3, 5, 4, 2, 2",4,3,5,4,2,2,3.67,4.33,"7,6,7,5,6,1,7,4,6,6,5,5,4,6,5,5,4",7,6,7,5,6,1,7,4,6,6,5,5,4,6,5,5,4,4.666666667,5,3.83,5.33,5.75,3.79,3.875,"4,3,4,3,4,4,5,4",4,3,4,3,4,4,5,4,inThreat,Masculino,25,Pardo,Heterossexual,Solteiro(a),MACEIÓ,Sim,UFAL,Graduação,8
e6bed630-9d46-11eb-9b7e-0daf340a71ab,1618418879949,1618420998081,stMale,180,3.444444444,"4,3,4,2,4,2,4,4,4",4,3,4,2,4,2,4,4,4,"4, 5, 3, 4, 5, 5",4,5,3,4,5,5,1.00,3.67,"1,1,3,1,3,3,3,7,2,5,1,3,1,7,7,7,5",1,1,3,1,3,3,3,7,2,5,1,3,1,7,7,7,5,1.666666667,6.5,1.58,2.00,4.25,2.88,4,"5,1,5,1,5,5,5,5",5,1,5,1,5,5,5,5,inBoost,Masculino,23,Branco,Heterossexual,Solteiro(a),Maceió,Sim,Ufal,Graduação,2023
d23aa670-9d47-11eb-9b7e-0daf340a71ab,1618420882885,1618421540768,stMale,160,4.222222222,"5,5,4,5,4,4,5,1,5",5,5,4,5,4,4,5,1,5,"3, 3, 3, 3, 4, 2",3,3,3,3,4,2,3.00,3.00,"2,2,2,1,1,2,6,6,6,7,1,1,1,7,6,6,7",2,2,2,1,1,2,6,6,6,7,1,1,1,7,6,6,7,1,6.5,1.25,1.67,6.25,1.71,4.25,"5,5,5,1,5,4,5,4",5,5,5,1,5,4,5,4,inBoost,Masculino,25,Pardo,Heterossexual,Solteiro(a),MACEIÓ,Sim,UFAL,Graduação,2023
358e5340-9d4b-11eb-9b7e-0daf340a71ab,1618422301740,1618422916334,stFemale,50,4,"3,3,4,5,5,3,5,5,3",3,3,4,5,5,3,5,5,3,"5, 1, 5, 1, 1, 1",5,1,5,1,1,1,5.00,3.67,"7,7,7,4,7,7,1,1,1,1,7,7,7,1,4,1,4",7,7,7,4,7,7,1,1,1,1,7,7,7,1,4,1,4,7,2.5,6.25,6.50,1.00,6.75,4,"5,5,5,5,5,3,1,3",5,5,5,5,5,3,1,3,inBoost,Feminino,48,Negro,Homossexual,Solteiro(a),,Sim,Ufal,Graduação,2025
4b869a80-9d4c-11eb-9b7e-0daf340a71ab,1618423216595,1618423569437,stMale,140,3.333333333,"4,1,4,3,4,4,4,3,3",4,1,4,3,4,4,4,3,3,"4, 5, 3, 4, 2, 2",4,5,3,4,2,2,3.00,3.67,"1,1,1,1,2,2,6,4,6,3,5,1,1,4,4,3,6",1,1,1,1,2,2,6,4,6,3,5,1,1,4,4,3,6,2.333333333,4.25,3.04,1.33,4.75,2.29,3.625,"4,5,3,2,4,4,3,4",4,5,3,2,4,4,3,4,inThreat,Feminino,21,Pardo,Heterossexual,Solteiro(a),Maceió,Sim,Universidade Federal de Alagoas,Graduação,2022
18379910-9df4-11eb-9b7e-0daf340a71ab,1618494713997,1618495449457,default,160,3,"3,3,4,2,2,3,2,4,4",3,3,4,2,2,3,2,4,4,"4, 5, 3, 3, 4, 2",4,5,3,3,4,2,2.33,3.33,"4,2,2,2,4,1,5,5,5,2,1,1,1,5,2,4,5",4,2,2,2,4,1,5,5,5,2,1,1,1,5,2,4,5,1,4,2.50,2.50,4.25,3.13,3.5,"4,4,2,2,4,5,2,5",4,4,2,2,4,5,2,5,control,Masculino,23,Branco,Heterossexual,Solteiro(a),Maceió,Sim,UFAL,Graduação,2023
4b9fd020-9e02-11eb-9b7e-0daf340a71ab,1618501325522,1618501732613,default,140,4.777777778,"5,4,5,5,4,5,5,5,5",5,4,5,5,4,5,5,5,5,"4, 5, 5, 5, 5, 4",4,5,5,5,5,4,1.33,4.67,"5,5,7,1,4,4,3,5,5,1,1,1,1,4,4,1,1",5,5,7,1,4,4,3,5,5,1,1,1,1,4,4,1,1,1,2.5,3.25,4.33,3.50,4.42,2.625,"5,1,1,5,1,1,3,4",5,1,1,5,1,1,3,4,control,Masculino,22,Pardo,Heterossexual,Solteiro(a),maceió,Sim,unit,Graduação,2021
169a9c00-9e22-11eb-9b7e-0daf340a71ab,1618514927197,1618515346194,stFemale,90,2.555555556,"3,2,3,1,2,2,3,4,3",3,2,3,1,2,2,3,4,3,"4, 5, 5, 5, 5, 3",4,5,5,5,5,3,1.67,4.67,"5,5,5,1,7,7,1,7,2,2,4,3,1,3,3,3,3",5,5,5,1,7,7,1,7,2,2,4,3,1,3,3,3,3,2.666666667,3,3.83,5.00,3.00,5.00,2.75,"2,2,2,3,4,3,3,3",2,2,2,3,4,3,3,3,inBoost,Feminino,21,Negro,Prefiro não Responder,Solteiro(a),Maceió,Sim,UFAL,Graduação,2023
906a5a80-9e30-11eb-9b7e-0daf340a71ab,1618521419844,1618521649027,stMale,170,5,"5,5,5,5,5,5,5,5,5",5,5,5,5,5,5,5,5,5,"4, 2, 2, 4, 3, 1",4,2,2,4,3,1,4.00,3.33,"6,6,6,1,6,5,1,7,1,1,1,5,1,5,5,5,2",6,6,6,1,6,5,1,7,1,1,1,5,1,5,5,5,2,2.333333333,4.25,3.04,5.00,2.50,5.25,5,"5,5,5,5,5,5,5,5",5,5,5,5,5,5,5,5,inThreat,Feminino,18,Branco,Heterossexual,Solteiro(a),Maceio,Sim,UFAL,Graduação,2026
bb421410-9e34-11eb-9b7e-0daf340a71ab,1618526737811,1618527015960,default,40,3.625,"3,3,5,2,5,5,1,,5",3,3,5,2,5,5,1,,5,"5, 5, 5, 3, 5, 3",5,5,5,3,5,3,1.67,4.33,"1,1,1,1,1,1,7,7,7,7,3,1,1,7,7,7,7",1,1,1,1,1,1,7,7,7,7,3,1,1,7,7,7,7,1.666666667,7,1.33,1.00,7.00,1.00,5,"5,5,5,5,5,5,5,5",5,5,5,5,5,5,5,5,control,Feminino,17,Branco,Heterossexual,Solteiro(a),,Não,,,
